serial ,build date,mfg location,lot number,QR Data

K050,Jul-25,SJ,1,https://QR.looma.education?serial=K050&date=July 2025&location=SJ&lot=1

K050,Jul-25,SJ,1,https://QR.looma.education?serial=K050&date=July 2025&location=SJ&lot=1

K050,Jul-25,SJ,1,https://QR.looma.education?serial=K050&date=July 2025&location=SJ&lot=1

K051,Jul-25,SJ,1,https://QR.looma.education?serial=K051&date=July 2025&location=SJ&lot=1

K051,Jul-25,SJ,1,https://QR.looma.education?serial=K051&date=July 2025&location=SJ&lot=1

K051,Jul-25,SJ,1,https://QR.looma.education?serial=K051&date=July 2025&location=SJ&lot=1

K052,Jul-25,SJ,1,https://QR.looma.education?serial=K052&date=July 2025&location=SJ&lot=1

K052,Jul-25,SJ,1,https://QR.looma.education?serial=K052&date=July 2025&location=SJ&lot=1

K052,Jul-25,SJ,1,https://QR.looma.education?serial=K052&date=July 2025&location=SJ&lot=1

K053,Jul-25,SJ,1,https://QR.looma.education?serial=K053&date=July 2025&location=SJ&lot=1

K053,Jul-25,SJ,1,https://QR.looma.education?serial=K053&date=July 2025&location=SJ&lot=1

K053,Jul-25,SJ,1,https://QR.looma.education?serial=K053&date=July 2025&location=SJ&lot=1

K054,Jul-25,SJ,1,https://QR.looma.education?serial=K054&date=July 2025&location=SJ&lot=1

K054,Jul-25,SJ,1,https://QR.looma.education?serial=K054&date=July 2025&location=SJ&lot=1

K054,Jul-25,SJ,1,https://QR.looma.education?serial=K054&date=July 2025&location=SJ&lot=1

K055,Jul-25,SJ,1,https://QR.looma.education?serial=K055&date=July 2025&location=SJ&lot=1

K055,Jul-25,SJ,1,https://QR.looma.education?serial=K055&date=July 2025&location=SJ&lot=1

K055,Jul-25,SJ,1,https://QR.looma.education?serial=K055&date=July 2025&location=SJ&lot=1

K056,Jul-25,SJ,1,https://QR.looma.education?serial=K056&date=July 2025&location=SJ&lot=1

K056,Jul-25,SJ,1,https://QR.looma.education?serial=K056&date=July 2025&location=SJ&lot=1

K056,Jul-25,SJ,1,https://QR.looma.education?serial=K056&date=July 2025&location=SJ&lot=1

K057,Jul-25,SJ,1,https://QR.looma.education?serial=K057&date=July 2025&location=SJ&lot=1

K057,Jul-25,SJ,1,https://QR.looma.education?serial=K057&date=July 2025&location=SJ&lot=1

K057,Jul-25,SJ,1,https://QR.looma.education?serial=K057&date=July 2025&location=SJ&lot=1

